docname,from,to,pre,keyword,post,pattern
AFG,354,354,parts government giroa mainstream environmental climate cso estimation imf estimate nepa national needs self assessment global environmental management ncsa national adaptation programme climate napa giroa,health,education infrastructure economy provision important basic services considerations national development framework nepa advocates appropriate policies measures enable rapid development ensuring good environmental climate developed indc,health
AFG,705,705,combination overall increase related increase evapotranspiration country likely negatively hydrological cycle agricultural productivity availability water resources climatic also likely upon spread water food vector borne,diseases,presenting considerable health risks urban rural populations aforementioned climate induced risks social poverty food insecurity causing considerable threats human life livelihoods political stability economy environment,health
AFG,708,708,related increase evapotranspiration country likely negatively hydrological cycle agricultural productivity availability water resources climatic also likely upon spread water food vector borne diseases presenting considerable,health,risks urban rural populations aforementioned climate induced risks social poverty food insecurity causing considerable threats human life livelihoods political stability economy environment based upon climate,health
AND,678,678,values annual precipitation drop least mm decade variations probably result water resources snow basis one pillars economy winter sports tourism climate likely far beyond areas,health,natural production hydroelectricity agriculture biodiversity clear examples vulnerability phenomenon first biennial united nations framework convention climate road transport sector one represents greenhouse gas inventory inventory,health
AND,767,767,short term results nationally determined planned indcs step representative path january coldest month negative average extreme average july hottest month exception helicopter transport used mainly,medical,transport mountain work value become tonnes revision purging census statistics real gdp base scenario strict mitigation measures maintenance global range ppm cf table figure necessary,health
ARE,1122,1122,agreed cop cop durban launched process develop full national inventory greenhouse gas emissions also undertaking process improve air quality measuring terms negative effects may human,health,domestic communication indc voluntary implemented principles provisions convention particular article article article article article,health
ARG,1093,1093,scale intensification extreme events intense rainfall floods droughts heat waves widens variability production compromises stability system producing high negative river streams well infrastructure transport network,diseases,current endemo epidemic areas expected tourism sector expected general demand affected climate near nevertheless likely destinations affected process creating pna started within national climate cabinet,health
ARG,1096,1096,events intense rainfall floods droughts heat waves widens variability production compromises stability system producing high negative river streams well infrastructure transport network diseases current endemo,epidemic,areas expected tourism sector expected general demand affected climate near nevertheless likely destinations affected process creating pna started within national climate cabinet plan based priorities,health
ARG,1148,1148,sectors jurisdictions represented council environment cofema participation municipal representatives relevant civil society private sector adaptation meetings representatives national government carried participation ministries agro industry energy,health,science technology productive innovation defense security finance public finance interior transportation process review current policies programs public private investment adaptation started meetings extended cabinet participation,health
ARG,1195,1195,meetings extended cabinet participation relevant first review process continue set initial needs regarding adaptation identified investigation development area widening monitoring networks strengthening early alert systems,health,climate services food security water energy reduction disaster risks boosting investigation development technologies projects well good productive mapping vulnerabilities climate risks diagnosis tool play support,health
ARG,1295,1295,works prevent floods droughts heat waves strengthening initiatives support recovery including adaptation based ecosystems awareness education ibid third national communication ibid severe winds risk transmission,dengue,fever diseases caused vector elevated long north northeast country risk focused summer global warming intensification transmission tourists travelling areas seasonality current efforts adaptation needs creation,health
ARG,1297,1297,floods droughts heat waves strengthening initiatives support recovery including adaptation based ecosystems awareness education ibid third national communication ibid severe winds risk transmission dengue fever,diseases,caused vector elevated long north northeast country risk focused summer global warming intensification transmission tourists travelling areas seasonality current efforts adaptation needs creation citizen awareness,health
ARM,563,563,sectoral coordination support establishment cross border solidarity environment adaptation prioritized based vulnerable sectors climate natural ecosystems aquatic terrestrial including forest ecosystems biodiversity land cover human,health,water resource management agriculture including fishery forests energy human settlements infrastructures tourism technology ensure technological assistanceand create favorable environment technology development establish overcome barriers introduction,health
ATG,148,148,nationally determined indc conditional adaptation targets increase seawater desalination levels buildings improved prepared extreme climate events including drought flooding electricity demand water essential services including,health,food storage emergency services met grid renewable sources waterways protected reduce risks flooding health affordable insurance scheme available farmers fishers residential business owners cope losses,health
ATG,162,162,climate events including drought flooding electricity demand water essential services including health food storage emergency services met grid renewable sources waterways protected reduce risks flooding,health,affordable insurance scheme available farmers fishers residential business owners cope losses resulting climate variability conditional mitigation targets establish efficiency standards importation vehicles appliances technical studies,health
ATG,483,483,reduce dependence fossil fuels reduce cost energy help alleviate poverty increasing affordable boundaries entire country sustainable energy sectors sectors addressed adaptation mitigation targets include energy,health,tourism agriculture waste water transportation forestry land use greenhouse gases ghgs national ghg inventory covers carbon dioxide nitrous oxide hydrofluorocarbons hfc intention use market based,health
ATG,1176,1176,energy supply implementing resilience energy systems water resources critical adaptation measure grid renewable energy resources resilience water sector electricity demand water sector essential services including,health,food storage emergency services met grid renewable sources resilience drought caribsave partnership climate risk profile environment limited esl national adaptation strategy plan address climate water,health
ATG,1265,1265,limited freshwater supply floods become particularly part due climate variability affecting severity storms rainfall extremes development increased cover constricted drainage sector exposed climate vector borne,diseases,spread water health borne illnesses trends increases waterways protected reduce risks flooding health climate models projecting trends generally determined increase intensity atlantic caribbean pose increasing,health
ATG,1268,1268,floods become particularly part due climate variability affecting severity storms rainfall extremes development increased cover constricted drainage sector exposed climate vector borne diseases spread water,health,borne illnesses trends increases waterways protected reduce risks flooding health climate models projecting trends generally determined increase intensity atlantic caribbean pose increasing threat antigua economy,health
ATG,1270,1270,particularly part due climate variability affecting severity storms rainfall extremes development increased cover constricted drainage sector exposed climate vector borne diseases spread water health borne,illnesses,trends increases waterways protected reduce risks flooding health climate models projecting trends generally determined increase intensity atlantic caribbean pose increasing threat antigua economy six resulted,health
ATG,1278,1278,rainfall extremes development increased cover constricted drainage sector exposed climate vector borne diseases spread water health borne illnesses trends increases waterways protected reduce risks flooding,health,climate models projecting trends generally determined increase intensity atlantic caribbean pose increasing threat antigua economy six resulted economic losses damages twin island totaling million luis,health
ATG,1726,1726,imports consideration indc mitigation adaptation co benefits national circumstances highlight exposure vulnerability climate ways mitigation namely grid renewable energy increase resilience critical sectors energy water,health,emergency services similarly mitigation adaptation co benefits example expanding protection watersheds sink ghg emissions also serves adaptation strategy water retention reducing risks climate namely flooding,health
BDI,485,485,widespread scarcity firewood wood due heightened combined pressure human rising biomass growth rates agriculture livestock farming declines cattle goats sheep poultry prolonged drought likelihoods occurrence,health,increased number cases malaria risk larger scale flooding escalation soil erosion along groundwater trenches watersheds mirwamountains levels lakes rweru rwihinda kanzigiri bugesera depression decrease intensification,health
BDI,489,489,due heightened combined pressure human rising biomass growth rates agriculture livestock farming declines cattle goats sheep poultry prolonged drought likelihoods occurrence health increased number cases,malaria,risk larger scale flooding escalation soil erosion along groundwater trenches watersheds mirwamountains levels lakes rweru rwihinda kanzigiri bugesera depression decrease intensification drought waters retreating already,health
BDI,576,576,plain increased vulnerability bush fires meat dairy production yields even heavily affected reduced along fish production event drought lightning appearing tornadoes increase causing additional livestock,deaths,mountainous areas decline quality quantity pastureland adaptation needs reduce vulnerability boost resilience needs identified relate human technical financial building well technology human building needs country,health
BDI,828,828,hydraulic solar wind key measure communications climate risks adaptation scenarios knowledge spatial temporal environment weather forecasts climate prevent fight bio use information networks areas ravaged,disease,major water pastureland resources national priorities adaptation climate specifically concerning adaptation climate priorities following documents national adaptation programme napa national climate policy national strategy plan,health
